==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(140, 41), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:    206	dt:2.5587e-07 		 RelativeTotalResisual:  1.06308e+00 	 damp:0.950000, duscale:0.700000
Iter:    207	dt:2.5648e-07 		 RelativeTotalResisual:  1.06425e+00 	 damp:0.950000, duscale:0.700000
Iter:    208	dt:2.5709e-07 		 RelativeTotalResisual:  1.06321e+00 	 damp:0.950000, duscale:0.700000
Iter:    209	dt:2.5773e-07 		 RelativeTotalResisual:  1.06332e+00 	 damp:0.950000, duscale:0.700000
Iter:    210	dt:2.5839e-07 		 RelativeTotalResisual:  1.06669e+00 	 damp:0.950000, duscale:0.700000
Iter:    211	dt:2.5904e-07 		 RelativeTotalResisual:  1.06996e+00 	 damp:0.950000, duscale:0.700000
Iter:    212	dt:2.5967e-07 		 RelativeTotalResisual:  1.07349e+00 	 damp:0.950000, duscale:0.700000
Iter:    213	dt:2.6024e-07 		 RelativeTotalResisual:  1.07825e+00 	 damp:0.950000, duscale:0.700000
Iter:    214	dt:2.6074e-07 		 RelativeTotalResisual:  1.08335e+00 	 damp:0.950000, duscale:0.700000
Iter:    215	dt:2.6119e-07 		 RelativeTotalResisual:  1.08757e+00 	 damp:0.950000, duscale:0.700000
